community,n_keywords,keywords_sample,n_elements,countries,years_range,lists
0,85,"Dance, Instrumental music, Local languages, Religious art, Theatre, Ritual dance, Poetry, Vocal music, Puppets, Performing arts",382,"Benin, Nigeria, Togo; China; Côte d'Ivoire; Dominican Republic; Georgia; Guinea; India; Italy; Japan; Lithuania",2008–2024,RL; USL; GSP
1,20,"Marine, coastal and island areas, Historical reenactment, Christianity, Sand, Metals, Sailing, Birds, Leather, Maritime transport",58,"Dominican Republic; Belize, Guatemala, Honduras, Nicaragua; Estonia; Indonesia; Vanuatu; Republic of Korea; China; Croatia; Latvia; Spain",2008–2024,RL; USL; GSP
2,32,"Oral tradition, Forests, Social interaction, Spiritual knowledge, Story telling, Furniture, Wood carving, Cultural programmes, Food resources, Mushrooms",75,"Benin, Nigeria, Togo; Ecuador, Peru; Guinea; Lithuania; Philippines; Belize, Guatemala, Honduras, Nicaragua; Türkiye; Brazil; India; Kyrgyzstan",2008–2024,RL; USL; GSP
3,77,"Urban areas, Religious practice, Sufism, Craft workers, Humour (literary), Family, Saints, Vehicles, Procession, Mothers",267,Bolivia (Plurinational State of); Dominican Republic; India; Italy; Morocco; Russian Federation; Spain; Azerbaijan; Belgium; Colombia,2008–2024,RL; USL; GSP
4,34,"Mountains, Slavery, Summer, Religious music, Interior architecture, Medicinal plants, Pastoralism, Avalanche, Disaster risk reduction, Astronomy",97,"Ecuador, Peru; Philippines; Uzbekistan; Bolivia (Plurinational State of); Jamaica; Slovakia; Colombia; Viet Nam; Mali; Guatemala",2008–2024,RL; GSP; USL
5,96,"Agro-ecosystems, Working class, Rural areas, Rural patrimony, Conflict resolution, Agricultural ritual, Knowledge and practices concerning nature and the universe, Brewing, Fermented beverages, Fermentation",283,"Benin, Nigeria, Togo; Georgia; Bolivia (Plurinational State of); Romania; Costa Rica; Bangladesh; Indonesia; Malawi; Jordan; State of Palestine",2008–2024,RL; USL; GSP
6,57,"Paper, Technical skills, Woodworking, Ceramic art, Decorative arts, Traditional craftsmanship, Sea fishing, Fibres, Weaving, Ecomuseums",185,"Estonia; Madagascar; Costa Rica; Uganda; Peru; Mali; Indonesia; China; Bolivia (Plurinational State of), Chile, Peru; Croatia",2008–2024,RL; GSP; USL
7,9,"Initiation rites, Grasslands, savannahs, Educational games, Milk, Spiritual retreat, Divination, Animal genetics, Age groups",44,"Benin, Nigeria, Togo; Guinea; Russian Federation; Kyrgyzstan; Tajikistan, Uzbekistan; Mali; Mozambique; Zambia; Malawi, Mozambique, Zambia; Gambia, Senegal",2008–2024,RL; USL
8,34,"Masks, Social practices, Socio-cultural practices, rituals and festive events, Cultural space, Festivals, New year, Float, Animal husbandry, Games",251,"Benin, Nigeria, Togo; Dominican Republic; Ecuador, Peru; Japan; Morocco; Republic of Korea; Russian Federation; Uzbekistan; Belgium; Estonia",2008–2024,RL; USL; GSP
9,4,"Artists, Books, Manuscripts, Miniature paintings",2,"Azerbaijan, Iran (Islamic Republic of), Türkiye, Uzbekistan; Azerbaijan, Iran (Islamic Republic of), Tajikistan, Türkiye, Uzbekistan",2020–2023,RL
10,4,"Handicrafts education, Safeguarding practices, Nonformal education, Community centres",10,Hungary; Brazil; Spain; Belgium; Mexico; Bulgaria; Uzbekistan; Slovakia,2011–2024,GSP
11,2,"Martial arts, Sport",10,"China; Iran (Islamic Republic of); Republic of Korea; Belgium; Brazil; Georgia; Indonesia; France, Italy, Switzerland; Malaysia; Cambodia",2009–2022,RL; GSP
